item_id,item_price,item_title,item_code,product_name,brand,vendor_product_number,unit_of_measurement,product_type,kode_kbki,tkdn(%),valid_until,product_url,model_/_type,nomor_izin_edar_(akd/akl/lainnya),jenis_produk_sesuai_izin_edar,fungsi,negara_asal_produk,negara_pabrikan,spesifikasi_produk_secara_singkat,informasi_lainnya,supplier
1255995,22365333,MAK MULTI FUNCTIONAL CHAIR 31309,4811004008-AK1-000925640,Multi Functional Chair 31309,MAK,31309,unit,lokal,4811004008,90,5/10/2023,,31309,AKD 10903910461,Manual patient transfer device,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheet (thickness 3,8 mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1251597,191712,OTTI INFUS PUMP,4815000041-AK1-000887052,Infus Pump,OTTI,S1-0001,unit,lokal,4815000041,90,15/06/2025,,S1-0001,20902020936,Infusion Pump,Monitoring tetes Infus,Indonesia,Indonesia,"Type : SI-0001 Baterai : 4,5 Volt Sensor Tetesan : Internal Rentang Kerja : Dewasa 3 – 150 tetes/menit, Anak 3 – 100 tetes/menit Resolusi tetes : 3 tetes/menit (macro dan micro) Volume infus : 0,1 s/d 1500 ml Akurasi : + 5% Mode : Tetes/menit dan volume Alarm : Piezo Buzzer Sertifikasi : SNI Ukuran : 68 X 62 X 29 Milimeter Kemasan : Karton dan Plastik",Sistem monitoring sensor infus yang berbasis mikrokontroler untuk membantu pasien rawat inap di rumah sakit untuk termonitor dengan data yang ada pada LED dan bunyi alarm. Secara umum Alat ini fungsinya untuk memantau tetesan cairan infus secara real time,418207
1251485,37300000,INKA INKA PASS BOX,4815000048-AK1-000886275,INKA Pass Box,INKA,1,unit,lokal,4815000048,90,19/08/2024,,Arjuna,KEMENKES RI AKD 20903910686,ULTRAVIOLET (UV) RADIATION CHAMBER DISINFECTION DEVICE,Menjaga ruang operasi dan ruang bersih tetap steril serta menjaga aliran udara kotor dan bersih tidak bersatu dengan meminimalisir kontaminasi pengangkutan barang dari ruang bersih ke ruang kotor,Indonesia,Indonesia,"Stainless Steel 304 Tebal 1,2 mm, Kaca 2 sisi ukuran 350x350 mm, Ukuran unit 750x750x620 mm, Power Input 220V/350 watt/1 phase, switch On/Off, Interlock automatis pintu satu sisi, Lampu ultraviolet 24VDC dan berat unit 63kg.",,418074
1261467,900000,BONEFILL BONEFILL ORTHO,2111100002-AK1-000967292,BONEFILL ORTHO,BONEFILL,PT.Phapros Tbk,bottle,lokal,2111100002,89,25/03/2024,,Non Elektromedik Steril/C,AKD21302910196,Resorbable Calcium Salt Bone Void Filler Device,Peralatan Ortopedi Prostetik Bone Filler,Indonesia,PT.Phapros Tbk,Bonefill Ortho produk untuk pengisian tulang yang diperlukan oleh bedah orthopedi,Produk dalam negeri berasal dari universitas negeri,231134
1255906,8435368,MAK BLOOD DONOR CHAIR 31306,4811004008-AK1-000925136,Blood Donor Chair 31306,MAK,31306,unit,lokal,4811004008,88,20/05/2024,,31306,AKD 10903910464,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheet (thickness 1,8 mm & 2,8mm & 3,8 mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256428,6415523,MAK MANUAL EXAMINATION TABLE 34105,4811004008-AK1-000929083,Manual Examination Table 34105,MAK,34105,unit,lokal,4811004008,87,5/10/2023,,34105,AKD 10903910681,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Made of stainless steel tube (square profile, size 25x25mm; 25x50mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255866,10447474,MAK MANUAL ECONOMIC SUPRAMAK BED 73007,4818001002-AK1-000924791,Manual Economic Supramak Bed 73007,MAK,73007,unit,lokal,4818001002,97,5/10/2023,,73007,AKD 10902910223,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 1 crank - diagonal lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256062,21655291,MAK SOTAMAK MANUAL BED 77001,4818001002-AK1-000926137,Sotamak Manual Bed 77001,MAK,77001,unit,lokal,4818001002,95,5/10/2023,,77001,AKD 10902910623,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 3 crank - side guard made of ABS plastic,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1255845,2785993,MAK WHEELCHAIR 31305,4993000002-AK1-000924655,Wheelchair 31305,MAK,31305,unit,lokal,4993000002,93,5/10/2023,,31305,AKD 11402910192,Mechanical wheelchair,transfer pasien,Indonesia,Indonesia,"Made of mild steel pipe (Ø25.4mm), assembled with MIG welding process","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256681,8125813,MAK ANESTHESIA TROLLEY 36604,4818001005-AK1-000931166,Anesthesia Trolley 36604,MAK,36604,unit,lokal,4818001005,91,5/10/2023,,36604,AKD 10404910678,"Anesthetic cabinet, table, or tray",Rak Alat-Alat,Indonesia,Indonesia,Three drawers with lock and key,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255995,22365333,MAK MULTI FUNCTIONAL CHAIR 31309,4811004008-AK1-000925640,Multi Functional Chair 31309,MAK,31309,unit,lokal,4811004008,90,5/10/2023,,31309,AKD 10903910461,Manual patient transfer device,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheet (thickness 3,8 mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1251597,191712,OTTI INFUS PUMP,4815000041-AK1-000887052,Infus Pump,OTTI,S1-0001,unit,lokal,4815000041,90,15/06/2025,,S1-0001,20902020936,Infusion Pump,Monitoring tetes Infus,Indonesia,Indonesia,"Type : SI-0001 Baterai : 4,5 Volt Sensor Tetesan : Internal Rentang Kerja : Dewasa 3 – 150 tetes/menit, Anak 3 – 100 tetes/menit Resolusi tetes : 3 tetes/menit (macro dan micro) Volume infus : 0,1 s/d 1500 ml Akurasi : + 5% Mode : Tetes/menit dan volume Alarm : Piezo Buzzer Sertifikasi : SNI Ukuran : 68 X 62 X 29 Milimeter Kemasan : Karton dan Plastik",Sistem monitoring sensor infus yang berbasis mikrokontroler untuk membantu pasien rawat inap di rumah sakit untuk termonitor dengan data yang ada pada LED dan bunyi alarm. Secara umum Alat ini fungsinya untuk memantau tetesan cairan infus secara real time,418207
1251485,37300000,INKA INKA PASS BOX,4815000048-AK1-000886275,INKA Pass Box,INKA,1,unit,lokal,4815000048,90,19/08/2024,,Arjuna,KEMENKES RI AKD 20903910686,ULTRAVIOLET (UV) RADIATION CHAMBER DISINFECTION DEVICE,Menjaga ruang operasi dan ruang bersih tetap steril serta menjaga aliran udara kotor dan bersih tidak bersatu dengan meminimalisir kontaminasi pengangkutan barang dari ruang bersih ke ruang kotor,Indonesia,Indonesia,"Stainless Steel 304 Tebal 1,2 mm, Kaca 2 sisi ukuran 350x350 mm, Ukuran unit 750x750x620 mm, Power Input 220V/350 watt/1 phase, switch On/Off, Interlock automatis pintu satu sisi, Lampu ultraviolet 24VDC dan berat unit 63kg.",,418074
1261467,900000,BONEFILL BONEFILL ORTHO,2111100002-AK1-000967292,BONEFILL ORTHO,BONEFILL,PT.Phapros Tbk,bottle,lokal,2111100002,89,25/03/2024,,Non Elektromedik Steril/C,AKD21302910196,Resorbable Calcium Salt Bone Void Filler Device,Peralatan Ortopedi Prostetik Bone Filler,Indonesia,PT.Phapros Tbk,Bonefill Ortho produk untuk pengisian tulang yang diperlukan oleh bedah orthopedi,Produk dalam negeri berasal dari universitas negeri,231134
1255906,8435368,MAK BLOOD DONOR CHAIR 31306,4811004008-AK1-000925136,Blood Donor Chair 31306,MAK,31306,unit,lokal,4811004008,88,20/05/2024,,31306,AKD 10903910464,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheet (thickness 1,8 mm & 2,8mm & 3,8 mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256428,6415523,MAK MANUAL EXAMINATION TABLE 34105,4811004008-AK1-000929083,Manual Examination Table 34105,MAK,34105,unit,lokal,4811004008,87,5/10/2023,,34105,AKD 10903910681,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Made of stainless steel tube (square profile, size 25x25mm; 25x50mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256501,8667534,MAK MANUAL EXAMINATION TABLE 34104 M,4811004008-AK1-000929561,Manual Examination Table 34104 M,MAK,4104M,unit,lokal,4811004008,87,5/10/2023,,34104 M,AKD 10903910508,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel pipe (Ø60mm, square profile, size 60x40mm; 60x30mm; 40x20mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256148,85127566,MAK ELECTRIC ICU ICCU SOTAMAK BED 78001,4818001002-AK1-000926823,Electric ICU ICCU Sotamak Bed 78001,MAK,78001,unit,lokal,4818001002,86,5/10/2023,,78001,AKD 20902910531,AC-powered adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,electric bed - actuator motor 24V,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1251649,8125813,MAK FOLDING STRETCHER 31201,4815000358-AK1-000887474,Folding Stretcher 31201,MAK,31201,unit,lokal,4815000358,86,5/10/2023,,31201,AKD 20903910388,Wheeled stretcher,transfer pasien,Indonesia,Indonesia,Made of steel pipe (Ø26mm) and assembled with MIG welding process,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255721,18573287,MAK MANUAL SUPRAMAK BED 73005,4818001002-AK1-000923646,Manual Supramak Bed 73005,MAK,73005,unit,lokal,4818001002,85,5/10/2023,,73005,AKD 10902910211,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 3 crank - central lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256200,23603552,MAK TRANSFERRING PATIENT 31209T,4815000358-AK1-000927260,Transferring Patient 31209T,MAK,1209T,unit,lokal,4815000358,84,5/10/2023,,31209T,AKD 20903910406,Wheeled stretcher,transfer pasien,Indonesia,Indonesia,Made of ellipse pipe steel 59x23mm; square steel pipe 30x60mm & steel pipe Ø25.4mm,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256322,25538270,MAK TRANSFERRING PATIENT HYDRAULIC 31209TH,4815000358-AK1-000928237,Transferring Patient Hydraulic 31209TH,MAK,129TH,unit,lokal,4815000358,84,5/10/2023,,31209TH,AKD 20903910407,Wheeled stretcher,transfer pasien,Indonesia,Indonesia,Made of ellipse pipe steel 59x23mm; square steel pipe 30x60mm & steel pipe Ø25.4mm,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1255946,13620410,MAK MANUAL ECONOMIC SUPRAMAK BED 73010,4818001002-AK1-000925306,Manual Economic Supramak Bed 73010,MAK,73010,unit,lokal,4818001002,83,5/10/2023,,73010,AKD 10902910224,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 2 crank - side guard stainless steel,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256533,6500650,MAK GYNAECOLOG EXAMINATION CHAIR 34110,4811004008-AK1-000929858,Gynaecolog Examination Chair 34110,MAK,34110,unit,lokal,4811004008,82,5/10/2023,,34110,AKD 21103910517,Obstetric table and accessories,Meja Periksa/Tindakan,Indonesia,Indonesia,Made of mild steel pipes (Ø31.8mm; Ø25.4mm and Ø19mm),"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256623,213000,INKA MEDICAL COVERALL INKA MEDICAL COVERALL,4815000073-AK1-000930598,INKA MEDICAL COVERALL,INKA MEDICAL COVERALL,3,piece,lokal,4815000073,80,15/05/2025,,INKA - MCA - NW,KEMENKES RI AKD 21603020674,SURGICAL APPAREL,MELINDUNGI DOKTER DAN TENAGA MEDIS LAINNYA,Indonesia,INDONESIA,"Terbuat dari bahan Spunbon Non Woven Polypropilen yang mampu menahan cairan, darah dan droplet. Kontaminasi dapat terdeteksi pada permukaan bahan. Terdapat lingkaran yang elastis pada bagian wajah, pergelangan tangan dan pergelangan kaki, Ukuran All Size (M to XL), Frekuensi penggunaan 3x",,418074
1258124,213000,INKA MEDICAL COVERALL INKA MEDICAL COVERALL (TYPE: INKA - MCA - POLY),4815000073-AK1-000942944,INKA MEDICAL COVERALL (TYPE: INKA - MCA - POLY),INKA MEDICAL COVERALL,4,piece,lokal,4815000073,80,15/05/2025,,INKA - MCA - POLY,KEMENKES RI AKD 21603020675,Surgical Apparel,Sebagai perlindungan pertama dokter dan perawat,Indonesia,Indonesia,"Terbuat dari bahan POlyester yang mampu menahan cairan, darah dan droplet. Kontaminasi dapat terdeteksi pada permukaan bahan. Terdapat lingkaran yang elastis pada bagian wajah, pergelangan tangan dan pergelangan kaki, Ukuran All Size (M to XL), Frekuensi penggunaan 1x",,418074
1251779,1992836,OTTI INFUS PUMP,4815000041-AK1-000888529,Infus pump,OTTI,BARCODE,unit,lokal,4815000041,80,7/02/2024,,S2-0002,sedang proses,Infusion Pump,otomatis tetes Infus,Indonesia,Indonesia,infus otomatis,innfus otomatis,418207
1255622,19734117,MAK TRANSFERRING PATIENT 31209,4815000358-AK1-000922737,Transferring Patient 31209,MAK,31209,unit,lokal,4815000358,77,5/10/2023,,31209,AKD 20903910405,Wheeled stretcher,transfer pasien,Indonesia,Indonesia,Made of ellipse pipe steel 59x23mm; square steel pipe 30x60mm & steel pipe Ø25.4mm,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255798,1106584,MAK MANUAL ECONOMIC SUPRAMAK BED 73006,4818001002-AK1-000924278,Manual Economic Supramak Bed 73006,MAK,73006,unit,lokal,4818001002,77,5/10/2023,,73006,AKD 10902910219,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 2 crank - diagonal lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1255294,35444023,MAK MULTI PURPOSE STRETCHER 31206,4815000358-AK1-000919334,Multi Purpose Stretcher 31206,MAK,31206,unit,lokal,4815000358,77,5/10/2023,,31206,AKD 20903910384,Wheeled stetcher,transfer pasien,Indonesia,Indonesia,"Made of stainless steel ellipse pipes (8%Ni, size 40x16mm, Ø31.8mm, Ø25.4mm and Ø19mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256653,42563783,MAK ELECTRIC ICU ICCU SUPRAMAK BED WITH CPR 73003 CPR,4818001002-AK1-000930878,Electric ICU ICCU Supramak Bed with CPR 73003 CPR,MAK,73CPR,unit,lokal,4818001002,72,5/10/2023,,73003 CPR,AKD 20902910722,AC-powered adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,electric bed - trendelenburg cpr,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256575,8125813,MAK EMERGENCY TROLLEY 36603,4815000062-AK1-000930265,Emergency Trolley 36603,MAK,36603,unit,lokal,4815000062,71,5/10/2023,,36603,AKD 10903910625,Infusion stand,Rak Alat-Alat,Indonesia,Indonesia,Combined of steel sheet with phosphate coating (thickness 0.9 mm),"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256168,3250325,MAK BABY BASKET 33608,4818001002-AK1-000926953,Baby Basket 33608,MAK,33608,unit,lokal,4818001002,69,5/10/2023,,33608,AKD 20902910499,Pediatric hospital bed,Tempat Tidur,Indonesia,Indonesia,made of steel pipes (Ø25.4mm & Ø19 mm),"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256273,7506704,MAK BABY BASKET 33611,4818001002-AK1-000927873,Baby Basket 33611,MAK,33611,unit,lokal,4818001002,69,5/10/2023,,33611,AKD 20902910500,Pediatric hospital bed,Tempat Tidur,Indonesia,Indonesia,Made of stainless steel pipes (Ø25.4mm & Ø16 mm),"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256558,31574588,MAK MANUAL GYNAECOLOG BED 34106 M,4811004008-AK1-000930048,Manual Gynaecolog Bed 34106 M,MAK,4106M,unit,lokal,4811004008,68,5/10/2023,,34106 M,AKD 21103910514,Obstetric table and accessories,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheets (thickness : 5.8mm; 4.8mm; 3.8mm, 2.8mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256223,5339820,MAK BABY BASKET STAINLESS STEEL 33609,4818001002-AK1-000927353,Baby Basket Stainless Steel 33609,MAK,33609,unit,lokal,4818001002,67,5/10/2023,,33609,AKD 20902910532,Pediatric hospital bed,Tempat Tidur,Indonesia,Indonesia,Made of stainless steel pipes (Ø25.4mm & Ø16 mm),"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256426,11608304,MAK CHILDREN BED 33606 C,4818001002-AK1-000929071,Children Bed 33606 C,MAK,3606C,unit,lokal,4818001002,67,5/10/2023,,33606 C,AKD 20902910399,Pediatric hospital bed,Tempat Tidur,Indonesia,Indonesia,Combined between stainless steel pipes (Ø25.4mm & Ø12.7mm) - back raise,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256488,9286644,MAK GYNAECOLOG EXAMINATION CHAIR 34109,4811004008-AK1-000929523,Gynaecolog Examination Chair 34109,MAK,34109,unit,lokal,4811004008,66,5/10/2023,,34109,AKD 21103910516,Obstetric table and accessories,Meja Periksa/Tindakan,Indonesia,Indonesia,"Made of stainless steel pipes rectangular profile 304 size 20x40, thickness 1.5 mm","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255347,32503252,MAK ELECTRIC SUPRAMAK BED 73002,4818001002-AK1-000919752,Electric Supramak Bed 73002,MAK,73002,unit,lokal,4818001002,65,5/10/2023,,73002,AKD 20902910615,AC-powered adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,electric bed - central lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1252591,29562482,MAK ELECTRIC SUPRAMAK BED 73001,4818001002-AK1-000894391,Electric Supramak Bed 73001,MAK,73001,unit,lokal,4818001002,65,5/10/2023,,73001,AKD 20902910614,AC-powered adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,electric bed - diagonal lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1255786,3269672,MAK WHEELCHAIR 31303,4993000002-AK1-000924091,Wheelchair 31303,MAK,31303,unit,lokal,4993000002,63,5/10/2023,,31303,AKD 11402910191,Mechanical wheelchair,transfer pasien,Indonesia,Indonesia,"Made of stainless steel pipe (Ø25.4mm), assembled with TIG welding process","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256377,15864683,MAK GYNAECOLOG EXAMINATION TABLE 34102,4811004008-AK1-000928717,Gynaecolog Examination Table 34102,MAK,34102,unit,lokal,4811004008,63,5/10/2023,,34102,AKD 21103910501,Obstetric table and accessories,Meja Periksa/Tindakan,Indonesia,Indonesia,Made of stainless steel pipe (Ø31.8mm; Ø25.4mm; Ø19mm and Ø12.7mm),"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
